,City,Lat,Max Temp,Cloudiness,Country,Date,Humidity,Lng,Wind Speed
0,Chokurdakh,70.63,-21.2,54,RU,1586390105,91,147.92,3.42
1,Mahébourg,-20.41,26.04,40,MU,1586390065,83,57.7,3.6
2,Murray,40.67,18.87,1,US,1586390336,42,-111.89,6.2
3,Souillac,-20.52,26.05,40,MU,1586390087,83,57.52,3.6
4,Ribeira Grande,38.52,15.95,6,PT,1586390129,84,-28.7,3.65
5,Codrington,-38.27,15.73,6,AU,1586390114,75,141.97,4.1
6,Athani,16.73,20.72,0,IN,1586390431,43,75.07,1.61
7,New Norfolk,-42.78,10.72,11,AU,1586390059,71,147.06,4.1
8,Mataura,-46.19,11.67,100,NZ,1586390062,86,168.86,7.15
9,Saint Paul Harbor,57.79,2.0,1,US,1586390077,51,-152.41,13.9
10,Doha,25.29,26.55,0,QA,1586390432,51,51.53,5.7
11,Punta Arenas,-53.15,13.66,32,CL,1586389810,58,-70.92,4.6
12,Saint-Philippe,-21.36,20.47,4,RE,1586390083,69,55.77,4.1
13,Kaitangata,-46.28,14.44,100,NZ,1586390073,62,169.85,1.34
14,Sosnovo-Ozerskoye,52.52,2.65,1,RU,1586390132,43,111.54,2.1
15,Benghazi,32.12,14.27,92,LY,1586390433,63,20.07,4.92
16,Hermanus,-34.42,15.06,6,ZA,1586390061,76,19.23,3.13
17,Soligalich,59.08,0.4,34,RU,1586390434,91,42.29,2.09
18,Bosaso,11.28,27.3,3,SO,1586390434,61,49.18,1.02
19,Killybegs,54.63,8.89,100,IE,1586390434,92,-8.45,1.79
20,Busselton,-33.65,19.21,24,AU,1586390060,44,115.33,3.45
21,Vaini,-21.2,27.0,75,TO,1586390066,94,-175.2,8.7
22,Thompson,55.74,-1.0,40,CA,1586390070,50,-97.86,6.7
23,Norman Wells,65.28,-1.0,90,CA,1586390094,46,-126.83,7.7
24,Bathsheba,13.22,27.0,40,BB,1586390435,69,-59.52,5.7
25,East Wenatchee,47.42,18.14,1,US,1586390435,17,-120.29,3.6
26,Chingirlau,51.09,4.81,100,KZ,1586390435,67,54.08,5.9
27,Hobart,-42.88,11.25,11,AU,1586389765,71,147.33,3.6
28,Saldanha,-33.01,15.0,0,ZA,1586390092,47,17.94,3.1
29,Necochea,-38.55,9.44,0,AR,1586390089,78,-58.74,2.68
30,Kapaa,22.08,25.56,20,US,1586390060,69,-159.32,4.1
31,Upernavik,72.79,-11.24,4,GL,1586390092,84,-56.15,1.7
32,Albany,42.6,10.43,75,US,1586389869,50,-73.97,5.7
33,Petropavlovsk-Kamchatskiy,53.05,3.0,20,RU,1586390120,55,158.65,1.0
34,Taoudenni,22.68,27.15,0,ML,1586390274,14,-3.98,6.3
35,Bluff,-46.6,11.67,100,NZ,1586390064,86,168.33,7.15
36,Yellowknife,62.46,-3.21,75,CA,1586390071,38,-114.35,1.85
37,Puerto Ayora,-0.74,27.51,20,EC,1586390099,78,-90.35,4.6
38,Hilo,19.73,22.67,90,US,1586389892,61,-155.09,2.6
39,Vardø,70.37,1.0,75,NO,1586390130,80,31.11,7.7
40,Barrow,71.29,-18.0,1,US,1586390064,70,-156.79,3.6
41,Namatanai,-3.67,29.0,53,PG,1586390439,71,152.43,2.07
42,Jamestown,42.1,11.29,1,US,1586390084,62,-79.24,4.6
43,Ushuaia,-54.8,20.0,7,AR,1586389996,32,-68.3,3.6
44,Beringovskiy,63.05,-8.23,19,RU,1586390089,87,179.32,0.12
45,Mount Isa,-20.73,27.0,40,AU,1586390095,30,139.5,3.6
46,Ekibastuz,51.67,0.09,92,KZ,1586390440,77,75.37,3.07
47,Bougouni,11.42,27.97,4,ML,1586390440,48,-7.48,2.67
